Company Name,Website,Industry,Product/Service Category,"Business Type (B2B, B2B2C)",Employees Count,Revenue,Year Founded,BBB Rating,Street,City,State,Company Phone,Company LinkedIn,Owner's First Name,Owner's Last Name,Owner's Title,Owner's LinkedIn,Owner's Phone Number,Owner's Email,Source
ZeroEyes,https://www.linkedin.com/company/zeroeyes-ai,"ZeroEyes is the industry's leading AI-based weapons detection solution. Our software integrates into existing security and surveillance camera systems and sends out a series of alerts when a verified gun is detected via our best-in-class weapons detection algorithms. The ZeroEyes platform is the most proactive and actionable early-warning system on the market, allowing users to ""Save time, save lives"". Founded by former US Military veterans with deep special operations and intelligence community experience, ZeroEyes is the trusted weapons detection provider of numerous clients, to include the US Department of Defense, leading public K-12 school districts, commercial property groups, Fortune 1000 corporate campuses, supply chain and distribution facilities, shopping malls, and big box retail. The company is headquartered in Conshohocken, PA and has additional offices in Alexandria, VA and Hawaii. The company is venture-backed and funded by established institutional capital. ZeroEyes technology is patented and recognized by US DHS with a SAFETY Act designation. ZeroEyes is also an established defense contractor leading multiple R&D lines of effort across the services.","Artificial Intelligence, Object Recognition, Video Analytics, Machine Learning, Deep Learning, Weapon detection, First Responders, Security, Public Safety, Computer Vision, Duty of Care, Defense Technology, and School safety",<function <lambda> at 0x7ea4e77326b0>,174,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,1100 E Hector St,50,+1-983-560-3375x30912,https://www.linkedin.com/company/zeroeyes-ai,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
MESKA Solutions,https://www.linkedin.com/company/meska-solutions,"MESKA Solutions is a woman-owned Biogas project development firm also offering Consulting Services and Environmental Market and Policy Research. Offering our partner's solutions for managing their waste streams by diverting organic waste and harvesting it into sustainable energy solutions Indicative services: - Market entry and strategy architecture - Revenue identification, origination, and closing - Power and commodity sales, and/or procurement - General business optimization, management, and support Swine and Dairy Farmers -We can offer the following service without any upfront costs: • Provide Technical due diligence and Financial Modeling to determine whether a Anaerobic Digestor project is feasible at your farm • Financially Backed developers – and expert guidance and assistance with Grant proposals • Explore the best options for energy output and by-products of digestion • Create a project proposal package to send out to the most qualified RNG developers in the industry • Unbiased Contract review and negotiations with RNG developers","Biogas, Renewable Energy, Solar, Business Development, Marketing, Power, and RNG",<function <lambda> at 0x7ea4e77326b0>,2,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,1457 Cribs Creek Rd,Po,+1-983-560-3375x30912,https://www.linkedin.com/company/meska-solutions,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Stape,https://www.linkedin.com/company/stape,"We created a tool that makes GTM server-side tagging simple – a few minutes to set up with a user-friendly dashboard, additional power-ups and integrations to better grasp user actions, and boost your digital marketing. Why choose server-side tracking with Stape? >> Switch to first-party cookies to keep up with third-party cookie depreciation. >> Get around ad blockers for reliable data. >> Enhance ad attribution and data analysis through server-to-server integration. >> Control the data shared with vendors for better security. >> Move to tracking with first-party data in a world without cookies. >> Get richer user data for more focused marketing. What Stape offers: >> Hosting for server-side Google Tag Manager, available worldwide and in the EU. >> Hosting for Meta Conversions API Gateway. >> A variety of apps, plugins, templates, and extensions. Benefits of Stape: >> Cost-effective: starting at $20 for hosting. Logs are included. Freemium plan for sGTM and free trial for CAPIG. >> User-friendly: easy setups and clear dashboards. >> Enhanced tracking with powerful integrations and templates. >> Helpful support and a community to assist with server-side tracking. >> Compliant with security standards: ISO 27001, HIPAA, SOC 2 and GDPR.","gtm server, website analytics, analytics, Google Tag Manager, and server-side",<function <lambda> at 0x7ea4e77326b0>,52,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,8 The Green,Su,+1-983-560-3375x30912,https://www.linkedin.com/company/stape,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
OCTOPUS SYSTEMS,https://www.linkedin.com/company/octopus---psim,"OCTOPUS command and control software and apps allows information/cyber, safety, logistics security officers manage manpower, procedures and technology in day-to-day routine and in emergencies. OCTOPUS interfaces with all organization systems and links all end users through a mobile app. This CC software was in development for three years, a company that employs the very best specialists in information and physical security. The software includes the majority of software and apps for organizations currently sold or developed separately. This was done to improve, manage and integrate performance parameters of organizational systems, to make redundant some of the integration required of organizations, and thus reduce costs to clients. OCTOPUS allows for efficient management of technological systems and of information security, safety, logistics and security teams of the organization in one database. This software is designed for installation in secured sites and facilities, such as smart cities, banks, offices, factories, hotels, hospitals, shopping malls, airports and many more. OCTOPUS has two main applications: A systems manager app installed on the company server or Cloud (per client specifications), managed in a CC center and/or personal tablet of the security officer. A user app (for security guards/employees) installed on personal smartphones.","Global distress signaling, Communication center Announcements, PTT, text message and voicemail, Tracking Transport routes, patrols and/or company fleet, Visitor/supplier Management, tracking, statistics, Integration Fire, Intrusion alarm, closed circuit TV, Cyber event management (SIEM), PSIM Command and Control, and Smart and Safe City",<function <lambda> at 0x7ea4e77326b0>,22,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,1 Ben Gurion St.,Bn,+1-983-560-3375x30912,https://www.linkedin.com/company/octopus---psim,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
4D Biomaterials,https://www.linkedin.com/company/4d-biomaterials,"The market for polymeric biomaterials is growing quickly, but despite this growth, it is widely recognised in the industry that the ‘holy grail’ solution has not yet been developed. The ideal biomaterial for use in regenerative medicine must: be biocompatible; promote tissue regeneration; have non-toxic biodegradation, have mechanical properties suited to the host tissue and good handling properties in a clinical environment. Our people have developed a patented range of novel polymeric 3-D printing resin-inks that promise, uniquely, to meet all of the above requirements and offer important advantages over the next best alternatives. The polymers and their degradation products are non-toxic and their properties can be tuned to suit a wide range of tissue regeneration applications. These 3-D printable resin-inks will enable medical implants to be fitted to the exact shape and dimensional requirements of each patient, optimising outcomes in applications such as cancer treatment, degenerative spinal conditions and reconstructive surgery. Initial in-vitro and in-vivo testing has provided strong evidence of the anticipated biocompatibility and tissue regeneration properties that will enable multiple stakeholders in the health sector to benefit from improved treatment options for a range of life-changing conditions, not least the patients themselves.",4D printing resins for medical devices and Prototyping of medical devices,<function <lambda> at 0x7ea4e77326b0>,9,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,Thane Road,No,+1-983-560-3375x30912,https://www.linkedin.com/company/4d-biomaterials,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
SenpAI.GG,https://www.linkedin.com/company/senpaigg,"SenpAI.GG is the all-in-one gaming assistant to elevate the performance of competitive gamers based on patent-pending AI technologies. SenpAI.GG empowers gamers in their end-to-end gaming experience with pre-game & post-game analysis to maximize their win probability and improve their gameplay. SenpAI.GG Desktop App runs a deep analysis of users’ playing style, pinpointing their strengths and weaknesses. Users gain access to instant recommendations and AI-generated video clips, all tailored to their interests and needs. SenpAI.GG is currently available for League of Legends and Valorant players worldwide and will be available soon for many other games.","Artificial Intelligence, Computer Vision, Esports, E-learning, Deep Learning, and Machine Learning",<function <lambda> at 0x7ea4e77326b0>,12,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,One Broadway,14,+1-983-560-3375x30912,https://www.linkedin.com/company/senpaigg,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Credit Elephant,https://www.linkedin.com/company/creditelephant,Credit is used for more than just qualifying for that shiny new car. Here at Credit Elephant we understand that life happens. Don’t let your past mistakes weigh you down. Contact us today to see how we can help you regain finacial freedom!,"Credit Consulting, Credit Education, Customer Support, Credit Restoration, Credit Dispute, and Subprime Credit",<function <lambda> at 0x7ea4e77326b0>,1,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,1631 Dickson Ave,#1,+1-983-560-3375x30912,https://www.linkedin.com/company/creditelephant,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
FISPAN,https://www.linkedin.com/company/fispan,"FISPAN revolutionizes businesses’ financial operations by seamlessly integrating their bank into their ERP or accounting system. Within a mere 30 minutes of installation, businesses can initiate bill payments and access detailed insights into their balances and transactions directly from their system of record, eliminating the need for cumbersome dual-screen accounting practices and making reconciliation a breeze. This streamlined approach not only saves valuable time but also minimizes the risk of errors in financial reporting while keeping them compliant with the highest security standards.","Financial Institutions, Financial Technology, FinTech, Financial Services, Treasury Management, Business Banking, Commercial Banking, Embedded Banking, Contextual Banking, ERP Integration, and ERP Banking Integration",<function <lambda> at 0x7ea4e77326b0>,123,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,220-355 Burrard St,Va,+1-983-560-3375x30912,https://www.linkedin.com/company/fispan,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
IFX Networks,https://www.linkedin.com/company/ifx-networks,"Somos el Managed Service Provider #1 de Latinoamerica especializados en soluciones e infraestructuras de telecomunicaciones y TI. Tenemos 25 años de experiencia con una cobertura en 18 países de la región y una gran proyección de crecimiento en cobertura, alcance y presencia. Contamos con más de 110.000 kilómetros de #FibraÓptica instalada, 23 #DataCenters estratégicamente ubicados y 10 puntos de #Cloud disponibles a nivel regional para integrar soluciones hechas a la medida de las necesidades operativas de cada empresa. ¡En IFX Networks, con seguridad nos acercamos al futuro!","Telecomunicaciones, Conectividad empresarial, Cloud público-privada, Cobertura regional, Data centers, Ciberseguridad, TIC's, Integraciones telefónicas, Monitoreo, Colaboración, and B2B",<function <lambda> at 0x7ea4e77326b0>,706,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,520 S Dixie Hwy,Ha,+1-983-560-3375x30912,https://www.linkedin.com/company/ifx-networks,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
MetaDAO,https://www.linkedin.com/company/metadaoproject,"We believe that the world's decisions can be made by markets. To make that a reality, we're building the world's first platform for creating and trading decision markets. It's like Polymarket but for decision markets.","On-chain Governance, DeFi, and Market Theory",<function <lambda> at 0x7ea4e77326b0>,2,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,San Francisco,CA,+1-983-560-3375x30912,https://www.linkedin.com/company/metadaoproject,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Primordial Labs,https://www.linkedin.com/company/primordial-labs-inc,"Primordial Labs is building the next-generation human-machine interface, Anura, to empower warfighters to collaborate with uncrewed systems (UxS) using natural language. With Anura, operators become active collaborators, not passive observers, in the human-machine team. Anura allows operators to verbally task robotic teammates and act as a “quarterback” while remaining heads-up and focused on the mission objective. Primordial Labs was founded in 2021 by Lee Ritholtz and Adrian Pope. The company is headquartered in New Haven, Connecticut.","Human-Centric AI System Design, Autonomous Systems C2 , Natural Language Interfaces , Automated Mission Planning Support , Platform-Independent AI Integration, Autonomy, Human-Machine Teaming, Human-Machine Interface, Uncrewed Systems, Unmanned Systems, and Drones",<function <lambda> at 0x7ea4e77326b0>,17,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,New Haven,CT,+1-983-560-3375x30912,https://www.linkedin.com/company/primordial-labs-inc,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
QuadGen,https://www.linkedin.com/company/quadgen,"QuadGen is a network and engineering services company, enabling customers to deploy new technologies, improve network capacity, reduce costs and optimize network performance. Our highly-trained staff, in-house proprietary tools and breadth of capabilities enable QuadGen to deliver the highest quality of network improvements that unlock value with velocity and precision. QuadGen provides end-to-end telecommunications solutions that enable our customers to deploy new technologies, improve network capacity, reduce costs and optimize network performance. We provide focus on four core areas: - Small Cell/DAS Solutions - RF Design, Engineering, and Optimization - Backhaul and Core Network Engineering - RAN Integration/Commissioning (EF&I) We deliver OEM-agnostic network solutions that unlock value with velocity and precision. With QuadGen there is no “B” team, ensuring our customers get access to the best talent in the industry. With approximately 800 employees, we have engineered or deployed hundreds of thousands of projects for major companies with decades of proven experience. QuadGen operates with the premier industry-leading certifications TL 9000 and ISO 9001:2015, ensuring high-quality results with velocity and precision. We are a nimble, agile partner that deploys efficiently and delivers network-enhancing results.","LTE, Wi-Fi, OSS, RF Engineering, Integration and Optimization, Fiber Networks, CBRS, 5G, Small Cell/DAS Solutions, RF Design, Engineering, and Optimization, Backhaul and Core Network Engineering, RAN Integration/Commissioning (EF&I), OEM-agnostic network solutions , TL 9000 , ISO 9001:2015, Certified MBE, End-to-end telecommunications solutions , EF&I, Network and Engineering Services, Network Operations Center (NOC), 5G, and CBRS",<function <lambda> at 0x7ea4e77326b0>,648,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,200 North Warner Rd,Su,+1-983-560-3375x30912,https://www.linkedin.com/company/quadgen,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
